,cause,cause_desc
9322,S62625,Displaced fracture of middle phalanx of left ring finger
9323,S62629,Displaced fracture of medial phalanx of unspecified finger
9324,S63256,Unspecified dislocation of right little finger
9325,S1254,Type III traumatic spondylolisthesis of sixth cervical vertebra
9326,S15202,Unspecified injury of left external jugular vein
9327,S2610,Unspecified injury of heart without hemopericardium
9328,S29029,Laceration of muscle and tendon of unspecified wall of thorax
9329,S30825,"Blister (nonthermal) of unspecified external genital organs, male"
9330,S31145,"Puncture wound of abdominal wall with foreign body, periumbilic region without penetration into peritoneal cavity"
9331,S32476,Nondisplaced fracture of medial wall of unspecified acetabulum
9332,S35338,Other specified injury of superior mesenteric vein
9333,S36502,Unspecified injury of descending [left] colon
9334,S40811,Abrasion of right upper arm
9335,S42101,"Fracture of unspecified part of scapula, right shoulder"
9336,S42145,"Nondisplaced fracture of glenoid cavity of scapula, left shoulder"
9337,S43151,Posterior dislocation of right acromioclavicular joint
9338,S4491,"Injury of unspecified nerve at shoulder and upper arm level, right arm"
9339,S49141,"Salter-Harris Type IV physeal fracture of lower end of humerus, right arm"
9340,S5012,Contusion of left forearm
9341,S51019,Laceration without foreign body of unspecified elbow
9342,S52356,"Nondisplaced comminuted fracture of shaft of radius, unspecified arm"
9343,S53093,Other subluxation of unspecified radial head
9344,S60423,Blister (nonthermal) of left middle finger
9345,S61221,Laceration with foreign body of left index finger without damage to nail
9346,S62339,Displaced fracture of neck of unspecified metacarpal bone
9347,S63075,Dislocation of distal end of left ulna
9348,S63339,Traumatic rupture of unspecified ulnocarpal (palmar) ligament
9349,S63618,Unspecified sprain of other finger
9350,S70929,Unspecified superficial injury of unspecified thigh
9351,S72136,Nondisplaced apophyseal fracture of unspecified femur
9352,S25109,Unspecified injury of unspecified innominate or subclavian artery
9353,S28221,Partial traumatic amputation of right breast
9354,S35318,Other specified injury of portal vein
9355,S40849,External constriction of unspecified upper arm
9356,S42212,Unspecified displaced fracture of surgical neck of left humerus
9357,S43026,Posterior dislocation of unspecified humerus
9358,S56512,"Strain of other extensor muscle, fascia and tendon at forearm level, left arm"
9359,S60041,Contusion of right ring finger without damage to nail
9360,S60448,External constriction of other finger
9361,S63249,Subluxation of distal interphalangeal joint of unspecified finger
9362,S12501,Unspecified nondisplaced fracture of sixth cervical vertebra
9363,S20422,Blister (nonthermal) of left back wall of thorax
9364,S21311,Laceration without foreign body of right front wall of thorax with penetration into thoracic cavity
9365,S21422,Laceration with foreign body of left back wall of thorax with penetration into thoracic cavity
9366,S25501,"Unspecified injury of intercostal blood vessels, right side"
9367,S27302,"Unspecified injury of lung, bilateral"
9368,S30871,Other superficial bite of abdominal wall
9369,S31654,"Open bite of abdominal wall, left lower quadrant with penetration into peritoneal cavity"
9370,S31815,Open bite of right buttock
9371,S49092,"Other physeal fracture of upper end of humerus, left arm"
9372,S49142,"Salter-Harris Type IV physeal fracture of lower end of humerus, left arm"
9373,S55201,"Unspecified injury of vein at forearm level, right arm"
9374,S56116,"Strain of flexor muscle, fascia and tendon of left ring finger at forearm level"
9375,S59111,"Salter-Harris Type I physeal fracture of upper end of radius, right arm"
9376,S61315,Laceration without foreign body of left ring finger with damage to nail
9377,S62299,"Other fracture of first metacarpal bone, unspecified hand"
9378,S63290,Dislocation of distal interphalangeal joint of right index finger
9379,S63519,Sprain of carpal joint of unspecified wrist
9380,S65509,Unspecified injury of blood vessel of unspecified finger
9381,S68721,Partial traumatic transmetacarpal amputation of right hand
9382,S20369,Insect bite (nonvenomous) of unspecified front wall of thorax
9383,S23171,Dislocation of T12/L1 thoracic vertebra
9384,S27898,Other injury of other specified intrathoracic organs
9385,S31133,"Puncture wound of abdominal wall without foreign body, right lower quadrant without penetration into peritoneal cavity"
9386,S32502,Unspecified fracture of left pubis
9387,S34129,Incomplete lesion of unspecified level of lumbar spinal cord
9388,S36021,Major contusion of spleen
9389,S43402,Unspecified sprain of left shoulder joint
9390,S53012,Anterior subluxation of left radial head
9391,S59121,"Salter-Harris Type II physeal fracture of upper end of radius, right arm"
9392,S60391,Other superficial injuries of right thumb
9393,S62255,"Nondisplaced fracture of neck of first metacarpal bone, left hand"
9394,S62361,"Nondisplaced fracture of neck of second metacarpal bone, left hand"
9395,S63051,Subluxation of other carpometacarpal joint of right hand
9396,S66320,"Laceration of extensor muscle, fascia and tendon of right index finger at wrist and hand level"
9397,S66510,"Strain of intrinsic muscle, fascia and tendon of right index finger at wrist and hand level"
9398,S6980,"Other specified injuries of unspecified wrist, hand and finger(s)"
9399,S71121,"Laceration with foreign body, right thigh"
9400,S72064,Nondisplaced articular fracture of head of right femur
9401,S20329,Blister (nonthermal) of unspecified front wall of thorax
9402,S2763,Laceration of pleura
9403,S29002,Unspecified injury of muscle and tendon of back wall of thorax
9404,S3096,"Unspecified superficial injury of unspecified external genital organs, male"
9405,S31834,Puncture wound with foreign body of anus
9406,S335,Sprain of ligaments of lumbar spine
9407,S3559,Injury of other iliac blood vessels
9408,S42261,Displaced fracture of lesser tuberosity of right humerus
9409,S43034,Inferior dislocation of right humerus
9410,S43111,Subluxation of right acromioclavicular joint
9411,S46901,"Unspecified injury of unspecified muscle, fascia and tendon at shoulder and upper arm level, right arm"
9412,S50912,Unspecified superficial injury of left forearm
9413,S52112,Torus fracture of upper end of left radius
9414,S52124,Nondisplaced fracture of head of right radius
9415,S60219,Contusion of unspecified wrist
9416,S61012,Laceration without foreign body of left thumb without damage to nail
9417,S62667,Nondisplaced fracture of distal phalanx of left little finger
9418,S63032,Subluxation of midcarpal joint of left wrist
9419,S63224,Subluxation of unspecified interphalangeal joint of right ring finger
9420,S63287,Dislocation of proximal interphalangeal joint of left little finger
9421,S66306,"Unspecified injury of extensor muscle, fascia and tendon of right little finger at wrist and hand level"
9422,S15119,Minor laceration of unspecified vertebral artery
9423,S20129,"Blister (nonthermal) of breast, unspecified breast"
9424,S21029,Laceration with foreign body of unspecified breast
9425,S21222,Laceration with foreign body of left back wall of thorax without penetration into thoracic cavity
9426,S31121,"Laceration of abdominal wall with foreign body, left upper quadrant without penetration into peritoneal cavity"
9427,S32402,Unspecified fracture of left acetabulum
9428,S32613,Displaced avulsion fracture of unspecified ischium
9429,S35298,Other injury of branches of celiac and mesenteric artery
9430,S37499,"Other injury of ovary, unspecified"
9431,S37892,Contusion of other urinary and pelvic organ
9432,S42264,Nondisplaced fracture of lesser tuberosity of right humerus
9433,S42265,Nondisplaced fracture of lesser tuberosity of left humerus
9434,S42324,"Nondisplaced transverse fracture of shaft of humerus, right arm"
9435,S42411,Displaced simple supracondylar fracture without intercondylar fracture of right humerus
9436,S43213,Anterior subluxation of unspecified sternoclavicular joint
9437,S50841,External constriction of right forearm
9438,S51002,Unspecified open wound of left elbow
9439,S52236,Nondisplaced oblique fracture of shaft of unspecified ulna
9440,S52322,Displaced transverse fracture of shaft of left radius
9441,S56019,"Strain of flexor muscle, fascia and tendon of unspecified thumb at forearm level"
9442,S60361,Insect bite (nonvenomous) of right thumb
9443,S60948,Unspecified superficial injury of other finger
9444,S66197,"Other injury of flexor muscle, fascia and tendon of left little finger at wrist and hand level"
9445,S66392,"Other injury of extensor muscle, fascia and tendon of right middle finger at wrist and hand level"
9446,S68129,Partial traumatic metacarpophalangeal amputation of unspecified finger
9447,S71149,"Puncture wound with foreign body, unspecified thigh"
9448,S71159,"Open bite, unspecified thigh"
9449,S22048,Other fracture of fourth thoracic vertebra
9450,S249,Injury of unspecified nerve of thorax
9451,S31109,"Unspecified open wound of abdominal wall, unspecified quadrant without penetration into peritoneal cavity"
9452,S43203,Unspecified subluxation of unspecified sternoclavicular joint
9453,S45292,"Other specified injury of axillary or brachial vein, left side"
9454,S46012,Strain of muscle(s) and tendon(s) of the rotator cuff of left shoulder
9455,S55902,"Unspecified injury of unspecified blood vessel at forearm level, left arm"
9456,S55992,"Other specified injury of unspecified blood vessel at forearm level, left arm"
9457,S61355,Open bite of left ring finger with damage to nail
9458,S62183,"Displaced fracture of trapezoid [smaller multangular], unspecified wrist"
9459,S62349,Nondisplaced fracture of base of unspecified metacarpal bone
9460,S62352,"Nondisplaced fracture of shaft of third metacarpal bone, right hand"
9461,S62624,Displaced fracture of middle phalanx of right ring finger
9462,S65504,Unspecified injury of blood vessel of right ring finger
9463,S66315,"Strain of extensor muscle, fascia and tendon of left ring finger at wrist and hand level"
9464,S70241,"External constriction, right hip"
9465,S72012,Unspecified intracapsular fracture of left femur
9466,S32010,Wedge compression fracture of first lumbar vertebra
9467,S32509,Unspecified fracture of unspecified pubis
9468,S39013,"Strain of muscle, fascia and tendon of pelvis"
9469,S42341,"Displaced spiral fracture of shaft of humerus, right arm"
9470,S46129,"Laceration of muscle, fascia and tendon of long head of biceps, unspecified arm"
9471,S56222,"Laceration of other flexor muscle, fascia and tendon at forearm level, left arm"
9472,S60042,Contusion of left ring finger without damage to nail
9473,S60159,Contusion of unspecified little finger with damage to nail
9474,S61224,Laceration with foreign body of right ring finger without damage to nail
9475,S61345,Puncture wound with foreign body of left ring finger with damage to nail
9476,S62366,"Nondisplaced fracture of neck of fifth metacarpal bone, right hand"
9477,S63410,Traumatic rupture of collateral ligament of right index finger at metacarpophalangeal and interphalangeal joint
9478,S168,"Other specified injury of muscle, fascia and tendon at neck level"
9479,S25112,Minor laceration of left innominate or subclavian artery
9480,S25321,Major laceration of right innominate or subclavian vein
9481,S29001,Unspecified injury of muscle and tendon of front wall of thorax
9482,S41159,Open bite of unspecified upper arm
9483,S42133,"Displaced fracture of coracoid process, unspecified shoulder"
9484,S42292,Other displaced fracture of upper end of left humerus
9485,S42356,"Nondisplaced comminuted fracture of shaft of humerus, unspecified arm"
9486,S42465,Nondisplaced fracture of medial condyle of left humerus
9487,S46101,"Unspecified injury of muscle, fascia and tendon of long head of biceps, right arm"
9488,S62246,"Nondisplaced fracture of shaft of first metacarpal bone, unspecified hand"
9489,S638X2,Sprain of other part of left wrist and hand
9490,S66122,"Laceration of flexor muscle, fascia and tendon of right middle finger at wrist and hand level"
9491,S70372,Other superficial bite of left thigh
9492,S72146,Nondisplaced intertrochanteric fracture of unspecified femur
9493,S14123,Central cord syndrome at C3 level of cervical spinal cord
9494,S20152,"Superficial foreign body of breast, left breast"
9495,S25422,Major laceration of left pulmonary blood vessels
9496,S30867,Insect bite (nonvenomous) of anus
9497,S3599,"Other specified injury of unspecified blood vessel at abdomen, lower back and pelvis level"
9498,S37069,Major laceration of unspecified kidney
9499,S4350,Sprain of unspecified acromioclavicular joint
9500,S46321,"Laceration of muscle, fascia and tendon of triceps, right arm"
9501,S51001,Unspecified open wound of right elbow
9502,S55099,"Other specified injury of ulnar artery at forearm level, unspecified arm"
9503,S59031,"Salter-Harris Type III physeal fracture of lower end of ulna, right arm"
9504,S60021,Contusion of right index finger without damage to nail
9505,S62212,"Bennett's fracture, left hand"
9506,S62305,"Unspecified fracture of fourth metacarpal bone, left hand"
9507,S62509,Fracture of unspecified phalanx of unspecified thumb
9508,S63056,Dislocation of other carpometacarpal joint of unspecified hand
9509,S63263,Dislocation of metacarpophalangeal joint of left middle finger
9510,S71112,"Laceration without foreign body, left thigh"
9511,S20142,"External constriction of part of breast, left breast"
9512,S22071,Stable burst fracture of T9-T10 vertebra
9513,S2502,Major laceration of thoracic aorta
9514,S30820,Blister (nonthermal) of lower back and pelvis
9515,S31142,"Puncture wound of abdominal wall with foreign body, epigastric region without penetration into peritoneal cavity"
9516,S3140,Unspecified open wound of vagina and vulva
9517,S35349,Unspecified injury of inferior mesenteric vein
9518,S35415,Laceration of left renal vein
9519,S41121,Laceration with foreign body of right upper arm
9520,S42031,Displaced fracture of lateral end of right clavicle
9521,S42345,"Nondisplaced spiral fracture of shaft of humerus, left arm"
9522,S43226,Posterior dislocation of unspecified sternoclavicular joint
9523,S52132,Displaced fracture of neck of left radius
9524,S52222,Displaced transverse fracture of shaft of left ulna
9525,S55919,"Laceration of unspecified blood vessel at forearm level, unspecified arm"
9526,S56091,"Other injury of flexor muscle, fascia and tendon of right thumb at forearm level"
9527,S61052,Open bite of left thumb without damage to nail
9528,S62601,Fracture of unspecified phalanx of left index finger
9529,S62643,Nondisplaced fracture of proximal phalanx of left middle finger
9530,S63093,Other subluxation of unspecified wrist and hand
9531,S12351,Other traumatic nondisplaced spondylolisthesis of fourth cervical vertebra
9532,S20151,"Superficial foreign body of breast, right breast"
9533,S24159,Other incomplete lesion at unspecified level of thoracic spinal cord
9534,S27419,"Primary blast injury of bronchus, unspecified"
9535,S40242,External constriction of left shoulder
9536,S43016,Anterior dislocation of unspecified humerus
9537,S43394,Dislocation of other parts of right shoulder girdle
9538,S4412,"Injury of median nerve at upper arm level, left arm"
9539,S46192,"Other injury of muscle, fascia and tendon of long head of biceps, left arm"
9540,S51042,Puncture wound with foreign body of left elbow
9541,S52266,"Nondisplaced segmental fracture of shaft of ulna, unspecified arm"
9542,S53146,Lateral dislocation of unspecified ulnohumeral joint
9543,S56109,"Unspecified injury of flexor muscle, fascia and tendon of unspecified finger at forearm level"
9544,S56511,"Strain of other extensor muscle, fascia and tendon at forearm level, right arm"
9545,S61402,Unspecified open wound of left hand
9546,S61431,Puncture wound without foreign body of right hand
9547,S62122,"Displaced fracture of lunate [semilunar], left wrist"
9548,S62123,"Displaced fracture of lunate [semilunar], unspecified wrist"
9549,S63279,Dislocation of unspecified interphalangeal joint of unspecified finger
9550,S66222,"Laceration of extensor muscle, fascia and tendon of left thumb at wrist and hand level"
9551,S66522,"Laceration of intrinsic muscle, fascia and tendon of right middle finger at wrist and hand level"
9552,S66991,"Other injury of unspecified muscle, fascia and tendon at wrist and hand level, right hand"
9553,S6981,"Other specified injuries of right wrist, hand and finger(s)"
9554,S72333,Displaced oblique fracture of shaft of unspecified femur
9555,S12600,Unspecified displaced fracture of seventh cervical vertebra
9556,S14154,Other incomplete lesion at C4 level of cervical spinal cord
9557,S2243,"Multiple fractures of ribs, bilateral"
9558,S25111,Minor laceration of right innominate or subclavian artery
9559,S31144,"Puncture wound of abdominal wall with foreign body, left lower quadrant without penetration into peritoneal cavity"
9560,S31805,Open bite of unspecified buttock
9561,S35232,Major laceration of inferior mesenteric artery
9562,S42012,Anterior displaced fracture of sternal end of left clavicle
9563,S43224,Posterior dislocation of right sternoclavicular joint
9564,S46329,"Laceration of muscle, fascia and tendon of triceps, unspecified arm"
9565,S56099,"Other injury of flexor muscle, fascia and tendon of unspecified thumb at forearm level"
9566,S5702,Crushing injury of left elbow
9567,S59919,Unspecified injury of unspecified forearm
9568,S60329,Blister (nonthermal) of unspecified thumb
9569,S60872,Other superficial bite of left wrist
9570,S61231,Puncture wound without foreign body of left index finger without damage to nail
9571,S61302,Unspecified open wound of right middle finger with damage to nail
9572,S62646,Nondisplaced fracture of proximal phalanx of right little finger
9573,S62649,Nondisplaced fracture of proximal phalanx of unspecified finger
9574,S63231,Subluxation of proximal interphalangeal joint of left index finger
9575,S63611,Unspecified sprain of left index finger
9576,S66128,"Laceration of flexor muscle, fascia and tendon of other finger at wrist and hand level"
9577,S6730,Crushing injury of unspecified wrist
9578,S161,"Strain of muscle, fascia and tendon at neck level"
9579,S20229,Contusion of unspecified back wall of thorax
9580,S36410,Primary blast injury of duodenum
9581,S40259,Superficial foreign body of unspecified shoulder
9582,S42434,Nondisplaced fracture (avulsion) of lateral epicondyle of right humerus
9583,S42445,Nondisplaced fracture (avulsion) of medial epicondyle of left humerus
9584,S4450,"Injury of cutaneous sensory nerve at shoulder and upper arm level, unspecified arm"
9585,S46021,Laceration of muscle(s) and tendon(s) of the rotator cuff of right shoulder
9586,S50311,Abrasion of right elbow
9587,S50812,Abrasion of left forearm
9588,S51811,Laceration without foreign body of right forearm
9589,S56111,"Strain of flexor muscle, fascia and tendon of right index finger at forearm level"
9590,S61249,Puncture wound with foreign body of unspecified finger without damage to nail
9591,S63234,Subluxation of proximal interphalangeal joint of right ring finger
9592,S6741,Crushing injury of right wrist and hand
9593,S71111,"Laceration without foreign body, right thigh"
9594,S71151,"Open bite, right thigh"
9595,S72043,Displaced fracture of base of neck of unspecified femur
9596,S12530,Unspecified traumatic displaced spondylolisthesis of sixth cervical vertebra
9597,S14111,Complete lesion at C1 level of cervical spinal cord
9598,S21349,Puncture wound with foreign body of unspecified front wall of thorax with penetration into thoracic cavity
9599,S2529,Other specified injury of superior vena cava
9600,S27321,"Contusion of lung, unilateral"
9601,S29021,Laceration of muscle and tendon of front wall of thorax
9602,S3021,Contusion of penis
9603,S303,Contusion of anus
9604,S31601,"Unspecified open wound of abdominal wall, left upper quadrant with penetration into peritoneal cavity"
9605,S3661,Primary blast injury of rectum
9606,S42115,"Nondisplaced fracture of body of scapula, left shoulder"
9607,S43082,Other subluxation of left shoulder joint
9608,S50312,Abrasion of left elbow
9609,S52334,Nondisplaced oblique fracture of shaft of right radius
9610,S55292,"Other specified injury of vein at forearm level, left arm"
9611,S59119,"Salter-Harris Type I physeal fracture of upper end of radius, unspecified arm"
9612,S60229,Contusion of unspecified hand
9613,S60942,Unspecified superficial injury of right middle finger
9614,S61131,Puncture wound without foreign body of right thumb with damage to nail
9615,S61229,Laceration with foreign body of unspecified finger without damage to nail
9616,S66114,"Strain of flexor muscle, fascia and tendon of right ring finger at wrist and hand level"
9617,S66397,"Other injury of extensor muscle, fascia and tendon of left little finger at wrist and hand level"
9618,S66520,"Laceration of intrinsic muscle, fascia and tendon of right index finger at wrist and hand level"
9619,S66593,"Other injury of intrinsic muscle, fascia and tendon of left middle finger at wrist and hand level"
9620,S20451,Superficial foreign body of right back wall of thorax
9621,S23420,Sprain of sternoclavicular (joint) (ligament)
9622,S25329,Major laceration of unspecified innominate or subclavian vein
9623,S25519,"Laceration of intercostal blood vessels, unspecified side"
9624,S32048,Other fracture of fourth lumbar vertebra
9625,S35212,Major laceration of celiac artery
9626,S3713,Laceration of ureter
9627,S3732,Contusion of urethra
9628,S43085,Other dislocation of left shoulder joint
9629,S45099,"Other specified injury of axillary artery, unspecified side"
9630,S46299,"Other injury of muscle, fascia and tendon of other parts of biceps, unspecified arm"
9631,S49041,"Salter-Harris Type IV physeal fracture of upper end of humerus, right arm"
9632,S52513,Displaced fracture of unspecified radial styloid process
9633,S59232,"Salter-Harris Type III physeal fracture of lower end of radius, left arm"
9634,S61112,Laceration without foreign body of left thumb with damage to nail
9635,S61350,Open bite of right index finger with damage to nail
9636,S62025,Nondisplaced fracture of middle third of navicular [scaphoid] bone of left wrist
9637,S62306,"Unspecified fracture of fifth metacarpal bone, right hand"
9638,S62511,Displaced fracture of proximal phalanx of right thumb
9639,S63260,Dislocation of metacarpophalangeal joint of right index finger
9640,S63274,Dislocation of unspecified interphalangeal joint of right ring finger
9641,S7226,Nondisplaced subtrochanteric fracture of unspecified femur
9642,S20461,Insect bite (nonvenomous) of right back wall of thorax
9643,S22022,Unstable burst fracture of second thoracic vertebra
9644,S24139,Anterior cord syndrome at unspecified level of thoracic spinal cord
9645,S3145,Open bite of vagina and vulva
9646,S36201,Unspecified injury of body of pancreas
9647,S4442,"Injury of musculocutaneous nerve, left arm"
9648,S46191,"Other injury of muscle, fascia and tendon of long head of biceps, right arm"
9649,S50371,Other superficial bite of right elbow
9650,S59142,"Salter-Harris Type IV physeal fracture of upper end of radius, left arm"
9651,S59199,"Other physeal fracture of upper end of radius, unspecified arm"
9652,S60458,Superficial foreign body of other finger
9653,S60869,Insect bite (nonvenomous) of unspecified wrist
9654,S62513,Displaced fracture of proximal phalanx of unspecified thumb
9655,S62526,Nondisplaced fracture of distal phalanx of unspecified thumb
9656,S63294,Dislocation of distal interphalangeal joint of right ring finger
9657,S65506,Unspecified injury of blood vessel of right little finger
9658,S7012,Contusion of left thigh
9659,S70321,"Blister (nonthermal), right thigh"
9660,S20309,Unspecified superficial injuries of unspecified front wall of thorax
9661,S20409,Unspecified superficial injuries of unspecified back wall of thorax
9662,S22018,Other fracture of first thoracic vertebra
9663,S31605,"Unspecified open wound of abdominal wall, periumbilic region with penetration into peritoneal cavity"
9664,S32031,Stable burst fracture of third lumbar vertebra
9665,S3282,Multiple fractures of pelvis without disruption of pelvic ring
9666,S36020,Minor contusion of spleen
9667,S37029,Major contusion of unspecified kidney
9668,S5421,"Injury of radial nerve at forearm level, right arm"
9669,S55199,"Other specified injury of radial artery at forearm level, unspecified arm"
9670,S56125,"Laceration of flexor muscle, fascia and tendon of right ring finger at forearm level"
9671,S56403,"Unspecified injury of extensor muscle, fascia and tendon of right middle finger at forearm level"
9672,S62163,"Displaced fracture of pisiform, unspecified wrist"
9673,S62521,Displaced fracture of distal phalanx of right thumb
9674,S63203,Unspecified subluxation of left middle finger
9675,S63309,Traumatic rupture of unspecified ligament of unspecified wrist
9676,S65291,Other specified injury of superficial palmar arch of right hand
9677,S65505,Unspecified injury of blood vessel of left ring finger
9678,S66209,"Unspecified injury of extensor muscle, fascia and tendon of unspecified thumb at wrist and hand level"
9679,S68117,Complete traumatic metacarpophalangeal amputation of left little finger
9680,S14102,Unspecified injury at C2 level of cervical spinal cord
9681,S21219,Laceration without foreign body of unspecified back wall of thorax without penetration into thoracic cavity
9682,S21431,Puncture wound without foreign body of right back wall of thorax with penetration into thoracic cavity
9683,S22012,Unstable burst fracture of first thoracic vertebra
9684,S22019,Unspecified fracture of first thoracic vertebra
9685,S25809,"Unspecified injury of other blood vessels of thorax, unspecified side"
9686,S2753,Laceration of thoracic trachea
9687,S3217,Type 4 fracture of sacrum
9688,S32399,Other fracture of unspecified ilium
9689,S42035,Nondisplaced fracture of lateral end of left clavicle
9690,S42409,Unspecified fracture of lower end of unspecified humerus
9691,S45819,"Laceration of other specified blood vessels at shoulder and upper arm level, unspecified arm"
9692,S52302,Unspecified fracture of shaft of left radius
9693,S52609,Unspecified fracture of lower end of unspecified ulna
9694,S53432,Radial collateral ligament sprain of left elbow
9695,S56114,"Strain of flexor muscle, fascia and tendon of left middle finger at forearm level"
9696,S60341,External constriction of right thumb
9697,S61122,Laceration with foreign body of left thumb with damage to nail
9698,S63609,Unspecified sprain of unspecified thumb
9699,S6490,Injury of unspecified nerve at wrist and hand level of unspecified arm
9700,S66912,"Strain of unspecified muscle, fascia and tendon at wrist and hand level, left hand"
9701,S71122,"Laceration with foreign body, left thigh"
9702,S12550,Other traumatic displaced spondylolisthesis of sixth cervical vertebra
9703,S169,"Unspecified injury of muscle, fascia and tendon at neck level"
9704,S30857,Superficial foreign body of anus
9705,S30870,Other superficial bite of lower back and pelvis
9706,S32471,Displaced fracture of medial wall of right acetabulum
9707,S37021,Major contusion of right kidney
9708,S42253,Displaced fracture of greater tuberosity of unspecified humerus
9709,S46302,"Unspecified injury of muscle, fascia and tendon of triceps, left arm"
9710,S50352,Superficial foreign body of left elbow
9711,S50901,Unspecified superficial injury of right elbow
9712,S52299,Other fracture of shaft of unspecified ulna
9713,S62174,"Nondisplaced fracture of trapezium [larger multangular], right wrist"
9714,S63285,Dislocation of proximal interphalangeal joint of left ring finger
9715,S63299,Dislocation of distal interphalangeal joint of unspecified finger
9716,S65411,Laceration of blood vessel of right thumb
9717,S66394,"Other injury of extensor muscle, fascia and tendon of right ring finger at wrist and hand level"
9718,S66501,"Unspecified injury of intrinsic muscle, fascia and tendon of left index finger at wrist and hand level"
9719,S72099,Other fracture of head and neck of unspecified femur
9720,S7224,Nondisplaced subtrochanteric fracture of right femur
9721,S14125,Central cord syndrome at C5 level of cervical spinal cord
9722,S29009,Unspecified injury of muscle and tendon of unspecified wall of thorax
9723,S3632,Contusion of stomach
9724,S36893,Laceration of other intra-abdominal organs
9725,S38222,Partial traumatic amputation of penis
9726,S38232,Partial traumatic amputation of scrotum and testis
9727,S48912,"Complete traumatic amputation of left shoulder and upper arm, level unspecified"
9728,S52254,"Nondisplaced comminuted fracture of shaft of ulna, right arm"
9729,S53013,Anterior subluxation of unspecified radial head
9730,S53033,"Nursemaid's elbow, unspecified elbow"
9731,S53431,Radial collateral ligament sprain of right elbow
9732,S58029,"Partial traumatic amputation at elbow level, unspecified arm"
9733,S58929,"Partial traumatic amputation of unspecified forearm, level unspecified"
9734,S59019,"Salter-Harris Type I physeal fracture of lower end of ulna, unspecified arm"
9735,S60477,Other superficial bite of left little finger
9736,S61442,Puncture wound with foreign body of left hand
9737,S62321,"Displaced fracture of shaft of second metacarpal bone, left hand"
9738,S63233,Subluxation of proximal interphalangeal joint of left middle finger
9739,S63243,Subluxation of distal interphalangeal joint of left middle finger
9740,S71022,"Laceration with foreign body, left hip"
9741,S14124,Central cord syndrome at C4 level of cervical spinal cord
9742,S15219,Minor laceration of unspecified external jugular vein
9743,S242,Injury of nerve root of thoracic spine
9744,S32455,Nondisplaced transverse fracture of left acetabulum
9745,S35492,Other specified injury of left renal artery
9746,S43032,Inferior subluxation of left humerus
9747,S51032,Puncture wound without foreign body of left elbow
9748,S51841,Puncture wound with foreign body of right forearm
9749,S52514,Nondisplaced fracture of right radial styloid process
9750,S5321,Traumatic rupture of right radial collateral ligament
9751,S56421,"Laceration of extensor muscle, fascia and tendon of right index finger at forearm level"
9752,S59129,"Salter-Harris Type II physeal fracture of upper end of radius, unspecified arm"
9753,S61309,Unspecified open wound of unspecified finger with damage to nail
9754,S61512,Laceration without foreign body of left wrist
9755,S12430,Unspecified traumatic displaced spondylolisthesis of fifth cervical vertebra
9756,S2341,Sprain of ribs
9757,S24149,Brown-Sequard syndrome at unspecified level of thoracic spinal cord
9758,S29019,Strain of muscle and tendon of unspecified wall of thorax
9759,S32484,Nondisplaced dome fracture of right acetabulum
9760,S36249,Minor laceration of unspecified part of pancreas
9761,S45009,"Unspecified injury of axillary artery, unspecified side"
9762,S45109,"Unspecified injury of brachial artery, unspecified side"
9763,S49109,"Unspecified physeal fracture of lower end of humerus, unspecified arm"
9764,S50851,Superficial foreign body of right forearm
9765,S52344,"Nondisplaced spiral fracture of shaft of radius, right arm"
9766,S52599,Other fractures of lower end of unspecified radius
9767,S52699,Other fracture of lower end of unspecified ulna
9768,S60132,Contusion of left middle finger with damage to nail
9769,S61254,Open bite of right ring finger without damage to nail
9770,S62223,"Displaced Rolando's fracture, unspecified hand"
9771,S63072,Subluxation of distal end of left ulna
9772,S63512,Sprain of carpal joint of left wrist
9773,S68124,Partial traumatic metacarpophalangeal amputation of right ring finger
9774,S70351,"Superficial foreign body, right thigh"
9775,S2191,Laceration without foreign body of unspecified part of thorax
9776,S24153,Other incomplete lesion at T7-T10 level of thoracic spinal cord
9777,S2611,Contusion of heart without hemopericardium
9778,S27309,"Unspecified injury of lung, unspecified"
9779,S28229,Partial traumatic amputation of unspecified breast
9780,S31655,"Open bite of abdominal wall, periumbilic region with penetration into peritoneal cavity"
9781,S35491,Other specified injury of right renal artery
9782,S46311,"Strain of muscle, fascia and tendon of triceps, right arm"
9783,S50822,Blister (nonthermal) of left forearm
9784,S51022,Laceration with foreign body of left elbow
9785,S56195,"Other injury of flexor muscle, fascia and tendon of right ring finger at forearm level"
9786,S60452,Superficial foreign body of right middle finger
9787,S61359,Open bite of unspecified finger with damage to nail
9788,S62350,"Nondisplaced fracture of shaft of second metacarpal bone, right hand"
9789,S62516,Nondisplaced fracture of proximal phalanx of unspecified thumb
9790,S63259,Unspecified dislocation of unspecified finger
9791,S66002,"Unspecified injury of long flexor muscle, fascia and tendon of left thumb at wrist and hand level"
9792,S72025,Nondisplaced fracture of epiphysis (separation) (upper) of left femur
9793,S72034,Nondisplaced midcervical fracture of right femur
9794,S15391,Other specified injury of right internal jugular vein
9795,S27411,"Primary blast injury of bronchus, unilateral"
9796,S30874,Other superficial bite of vagina and vulva
9797,S31822,Laceration with foreign body of left buttock
9798,S34101,Unspecified injury to L1 level of lumbar spinal cord
9799,S35339,Unspecified injury of superior mesenteric vein
9800,S358X8,"Other specified injury of other blood vessels at abdomen, lower back and pelvis level"
